answer_en,question_en,context,context_data
"Therefore, because of the injustice of those Jews who transgressed greatly, We made unlawful for them good things that were previously lawful to them, and because they turned away from the path of Allah. And because they took usury, though they were forbidden it, and consumed the wealth of people unjustly. We have prepared for the disbelievers among them a painful punishment in the hereafter.",Why did Allah (swt) forbid some lawful delicious foods for the Jews? Please mention the verses and explain them.,"Quran Surah 4 Ayah 160:
Then On Account Of Injustice On The Part Of The Jews, We Made Unlawful For Them (Many) Pure Provisions That Had Been Made Lawful For Them (Before), And (Also) For The Reason That They Hindered (People) At A Large Scale From The Path Of Allah.

Quran Surah 4 Ayah 161:
And (Also) Because Of Their Taking Usury, Despite That They Were Forbidden To Do It, And Because Of Their Usurping Others’ Wealth Wrongfully (They Were Punished). And We Have Prepared A Torturous Torment For Those Of Them Who Disbelieve.","[{""index"": 138, ""q_src_id"": 139, ""surah"": 4, ""ayah"": 160, ""ayah_en"": ""Then On Account Of Injustice On The Part Of The Jews, We Made Unlawful For Them (Many) Pure Provisions That Had Been Made Lawful For Them (Before), And (Also) For The Reason That They Hindered (People) At A Large Scale From The Path Of Allah.""}, {""index"": 138, ""q_src_id"": 139, ""surah"": 4, ""ayah"": 161, ""ayah_en"": ""And (Also) Because Of Their Taking Usury, Despite That They Were Forbidden To Do It, And Because Of Their Usurping Others\u2019 Wealth Wrongfully (They Were Punished). And We Have Prepared A Torturous Torment For Those Of Them Who Disbelieve.""}]"
Prove the attribute of speech for Allah - the Exalted - as befits His Majesty.,This verse establishes one of the attributes of Allah. Mention it. 'And [We had sent] messengers about whom We have already told you and messengers about whom We have not told you - and Allah spoke to Moses directly.' (4:164),"Quran Surah 4 Ayah 164:
And (We Have Sent Many) Messengers Whose Annals We Have Narrated To You Earlier; And We Sent (A Number Of) Those Messengers Whose Details We Have Not (Yet) Related To You; And Allah (Also) Spoke To Musa (Moses) Directly.","[{""index"": 139, ""q_src_id"": 140, ""surah"": 4, ""ayah"": 164, ""ayah_en"": ""And (We Have Sent Many) Messengers Whose Annals We Have Narrated To You Earlier; And We Sent (A Number Of) Those Messengers Whose Details We Have Not (Yet) Related To You; And Allah (Also) Spoke To Musa (Moses) Directly.""}]"
"When asked about his prophethood, the Jews denied it (but Allah bears witness), He made clear your prophethood (through what He revealed to you) from the Quran, the miraculous (revealing it) in a hidden manner (to those who know it or have knowledge within it), and the angels also bear witness to you (and Allah is sufficient as a witness).",What is the reason for the revelation of this verse?,"Quran Surah 4 Ayah 166:
(O Beloved! Whether Somebody Believes In Your Prophethood Or Not,) Allah (Himself) Bears Witness To (This Fact That) Whatever He Has Sent Down To You Has Sent Down With His Knowledge. And The Angels (Too) Bear Witness To That Effect (For Your Sake), And Allah Is All-Sufficient As A Witness.","[{""index"": 140, ""q_src_id"": 141, ""surah"": 4, ""ayah"": 166, ""ayah_en"": ""(O Beloved! Whether Somebody Believes In Your Prophethood Or Not,) Allah (Himself) Bears Witness To (This Fact That) Whatever He Has Sent Down To You Has Sent Down With His Knowledge. And The Angels (Too) Bear Witness To That Effect (For Your Sake), And Allah Is All-Sufficient As A Witness.""}]"
"O people, our messenger Muhammad, peace be upon him, has come to you with Islam, the religion of truth from your Lord. Therefore, believe in him and follow him, for faith in him is better for you. But if you persist in your disbelief, know that Allah is independent of you and your faith, for He is the Lord of all that is in the heavens and the earth. Allah is aware of your words and actions, and His laws and commands are wise. Since the heavens and the earth have submitted to Allah in creation and power, it is only fitting that you believe in Allah, His messenger Muhammad, peace be upon him, and the Quran revealed to him, and submit to it in law, so that all creation may submit to Allah in power and law. This verse is a proof of the universality of the message of Allah's prophet and messenger Muhammad, peace be upon him.","Explain this verse: 'O mankind! The Messenger has come to you with the truth from your Lord, so believe [in him]. It is better for you. But if you disbelieve, then indeed, to Allah belongs whatever is in the heavens and earth. And ever is Allah Knowing and Wise.' (4:170)","Quran Surah 4 Ayah 170:
O Mankind! Indeed, This Messenger (Blessings And Peace Be Upon Him) Has Come To You With The Truth From Your Lord. So Believe (In Him) For Your Own Good. But If You Disbelieve (I.E., Deny His Prophethood, Then Bear In Mind That He Is Beyond Any Need Of You Because) Whatever Is In The Heavens And The Earth Belongs To Allah Indeed. And Allah Is All-Knowing, Most Wise.","[{""index"": 141, ""q_src_id"": 142, ""surah"": 4, ""ayah"": 170, ""ayah_en"": ""O Mankind! Indeed, This Messenger (Blessings And Peace Be Upon Him) Has Come To You With The Truth From Your Lord. So Believe (In Him) For Your Own Good. But If You Disbelieve (I.E., Deny His Prophethood, Then Bear In Mind That He Is Beyond Any Need Of You Because) Whatever Is In The Heavens And The Earth Belongs To Allah Indeed. And Allah Is All-Knowing, Most Wise.""}]"
"O People of the Book, do not exaggerate in your religion, nor utter aught regarding Allah but the truth. The Messiah, Jesus son of Mary, was only a messenger of Allah, and His command which He conveyed to Mary, and a spirit from Him. So believe in Allah and His messengers, and say not 'Three' - desist, it is better for you - Allah is but one God. Exalted is He that He should have a son. To Him belongs whatever is in the heavens and whatever is on the earth. And sufficient is Allah as Disposer of affairs.",Recite the verse that indicates the truth about Jesus (peace be upon him) and explain it.,"Quran Surah 4 Ayah 171:
O People Of The Book! Exceed Not The Limits In Your Din (Religion), And Speak Nothing But The Truth About Allah’S Glory. The Fact Is Simple That The Messiah, ‘Isa, The Son Of Maryam (Jesus, The Son Of Mary) Is Allah’S Messenger And His Word Which He Conveyed To Maryam (Mary) And A Spirit From Him. So Believe In Allah And His Messengers And Do Not Say: ‘There Are Three (Gods).’ Refrain (From This Belief); (That) Is Best For You. Verily, Allah Is The Only One God, Holy Is He, Far Above Having A Son. Whatever Is In The Heavens And Whatever Is In The Earth (All) Belongs To Him Alone. And Sufficient Is Allah As A Guardian.","[{""index"": 142, ""q_src_id"": 143, ""surah"": 4, ""ayah"": 171, ""ayah_en"": ""O People Of The Book! Exceed Not The Limits In Your Din (Religion), And Speak Nothing But The Truth About Allah\u2019S Glory. The Fact Is Simple That The Messiah, \u2018Isa, The Son Of Maryam (Jesus, The Son Of Mary) Is Allah\u2019S Messenger And His Word Which He Conveyed To Maryam (Mary) And A Spirit From Him. So Believe In Allah And His Messengers And Do Not Say: \u2018There Are Three (Gods).\u2019 Refrain (From This Belief); (That) Is Best For You. Verily, Allah Is The Only One God, Holy Is He, Far Above Having A Son. Whatever Is In The Heavens And Whatever Is In The Earth (All) Belongs To Him Alone. And Sufficient Is Allah As A Guardian.""}]"
"The Proof is the Prophet Muhammad (peace be upon him), and the Clear Light is the Quran (the noble book).","What is the proof and what is the clear light mentioned in the verse: 'O mankind! There has come to you a proof from your Lord, and We have sent down to you a clear light.' (4:174)","Quran Surah 4 Ayah 174:
O Mankind! (The Most Vital, Perfect, Clear And) Conclusive Evidence Has Reached You From Your (Ever-Glorious And Most Exalted) Lord (In The Form Of The Holy Being Of The Prophet Muhammad [Blessings And Peace Be Upon Him]). And (Besides) We Have (Also) Sent Down To You The Brightening And Radiant Light (In The Shape Of The Holy Qur’An).","[{""index"": 143, ""q_src_id"": 144, ""surah"": 4, ""ayah"": 174, ""ayah_en"": ""O Mankind! (The Most Vital, Perfect, Clear And) Conclusive Evidence Has Reached You From Your (Ever-Glorious And Most Exalted) Lord (In The Form Of The Holy Being Of The Prophet Muhammad [Blessings And Peace Be Upon Him]). And (Besides) We Have (Also) Sent Down To You The Brightening And Radiant Light (In The Shape Of The Holy Qur\u2019An).""}]"
"They ask you, O Messenger, about the ruling on the inheritance of the one who dies without leaving a child or a parent. Say: Allah makes clear to you the ruling regarding this. If a man dies leaving no child or parent, but leaving a sister, whether she is from both parents or only from the father, she shall receive half of his inheritance, and her brother shall inherit the other half if she dies leaving no child or parent. If the deceased has two sisters, they shall receive two-thirds of his inheritance. If the brothers from the father's side are present along with the sisters, the brothers shall receive twice the share of the sisters. Allah makes clear to you the division of inheritance and the ruling on the inheritance of the deceased without leaving a child or a parent, so that you may not go astray in the matter of inheritance. And Allah is aware of the final outcome of all matters and what is best for His servants.","Explain this verse: 'They ask you for a ruling. Say, 'Allah gives you a ruling concerning the one who dies without leaving a descendant but leaves a sister: she shall have half of what he leaves, and he shall inherit her if she has no descendant. But if there are two sisters, they shall have two-thirds of what he leaves, and if there are brothers and sisters, the male shall have the share of two females.' Allah makes it clear to you so that you do not go astray, and Allah has full knowledge of all things.' (4:176)","Quran Surah 4 Ayah 176:
They Seek Edict (I.E., Judgment Under Islamic Law) From You. Say: ‘Allah Ordains Pertaining To (The Inheritance Of) Kalala (The Deceased Leaving Neither Children Nor Parents Behind): If A Man Dies Childless But Has One Sister, She Shall Have (As Her Share) Half (The Property) That He Leaves. (If, On The Contrary, A Sister Is Kalala, Then In The Case Of Her Death) The Brother Will Be (The Sole) Heir (To His Sister), If She Has No Children. Then, If (After A Kalala Brother’S Death) Two (Sisters) Are (The Heirs), They Are Entitled To Share Two-Thirds Of (The Property) He Leaves. And If (In The Case Of The Deceased Who Is Kalala) He Has Some Brothers And Sisters, Male (As Well As) Female Heirs, Then The Share Of Each Male Shall Be As Much As The (Portion Of) Two Females.’ Allah Is Clearly Explaining (These Laws) To You Lest You Should Go Astray. And Allah Knows Everything Well.","[{""index"": 144, ""q_src_id"": 145, ""surah"": 4, ""ayah"": 176, ""ayah_en"": ""They Seek Edict (I.E., Judgment Under Islamic Law) From You. Say: \u2018Allah Ordains Pertaining To (The Inheritance Of) Kalala (The Deceased Leaving Neither Children Nor Parents Behind): If A Man Dies Childless But Has One Sister, She Shall Have (As Her Share) Half (The Property) That He Leaves. (If, On The Contrary, A Sister Is Kalala, Then In The Case Of Her Death) The Brother Will Be (The Sole) Heir (To His Sister), If She Has No Children. Then, If (After A Kalala Brother\u2019S Death) Two (Sisters) Are (The Heirs), They Are Entitled To Share Two-Thirds Of (The Property) He Leaves. And If (In The Case Of The Deceased Who Is Kalala) He Has Some Brothers And Sisters, Male (As Well As) Female Heirs, Then The Share Of Each Male Shall Be As Much As The (Portion Of) Two Females.\u2019 Allah Is Clearly Explaining (These Laws) To You Lest You Should Go Astray. And Allah Knows Everything Well.""}]"
"God has prohibited for you: the dead animal, which has left life without being slaughtered; blood; pork; meat slaughtered in the name of someone other than God; an animal strangled to death; an animal beaten to death; an animal that has fallen from a high place and died; an animal killed by another animal; and an animal that has been slaughtered for idols. However, if you find an animal that has been strangled or slaughtered in any of the prohibited ways, and you find it alive before it dies, it is permissible for you to eat it. God has also prohibited asking for knowledge of what has been divided or not divided by lots, which were used for seeking decisions before Islam. The mentioned prohibitions, if violated, constitute disobedience to God's commands. Now, the disbelievers' hope that you will revert to their religion after embracing Islam has been cut off. Do not fear them, but fear Me. Today, I have perfected your religion for you, completed My favor upon you, and chosen Islam as your religion. So, remain steadfast to it and do not deviate from it. If anyone is forced by extreme hunger to eat carrion, without intending to sin, then God is Forgiving and Merciful.",Explain the verse that outlines the prohibited animals.,"Quran Surah 5 Ayah 3:
Forbidden To You Is Carrion (The Animal That Dies And Is Not Slaughtered According To Islamic Law) And (The Discharged) Blood And Pork And That (Animal) On Which The Name Of Someone Other Than Allah Has Been Invoked Whilst Slaughtering And (The Animal) That Dies By Strangling Or By A Violent Blow (Not By Any Sharp Instrument) Or By Falling From A Height Or The One That Has Been Gored To Death Or Which Has Been Ripped Apart And Gnawed By A Wild Beast, Save The One Which You Slaughter (Before It Dies), And (That Animal Too Is Forbidden) Which Has Been Slaughtered On Idolatrous Altars (Dedicated To False Gods). And This (Is Also Unlawful) That You Learn Your Fortune Through Divining (With Arrows Or Divide Shares By Such Means). All These Works Are Sins. This Day, The Disbelievers Have Lost All Hopes Of (Their Heinous Designs Because) Your Din ([Religion] Has Prevailed). So, (O Believers,) Fear Them Not And Always Fear Me Alone. Today I Have Perfected Your Din (Religion) For You, And Have Completed My Blessing Upon You, And Have Chosen For You Islam (As) Din (A Complete Code Of Life). Then If Someone Gets Into A Survival Situation (And Is Forced By) Ravenous Hunger (And Intense Thirst I.E., Driven By Dire Necessity, Provided) He Is Not Prone To Sinning (I.E., Eats What Is Forbidden Without Being Wilfully Inclined To Sin), Then Allah Is Indeed Most Forgiving, Ever-Merciful.","[{""index"": 145, ""q_src_id"": 146, ""surah"": 5, ""ayah"": 3, ""ayah_en"": ""Forbidden To You Is Carrion (The Animal That Dies And Is Not Slaughtered According To Islamic Law) And (The Discharged) Blood And Pork And That (Animal) On Which The Name Of Someone Other Than Allah Has Been Invoked Whilst Slaughtering And (The Animal) That Dies By Strangling Or By A Violent Blow (Not By Any Sharp Instrument) Or By Falling From A Height Or The One That Has Been Gored To Death Or Which Has Been Ripped Apart And Gnawed By A Wild Beast, Save The One Which You Slaughter (Before It Dies), And (That Animal Too Is Forbidden) Which Has Been Slaughtered On Idolatrous Altars (Dedicated To False Gods). And This (Is Also Unlawful) That You Learn Your Fortune Through Divining (With Arrows Or Divide Shares By Such Means). All These Works Are Sins. This Day, The Disbelievers Have Lost All Hopes Of (Their Heinous Designs Because) Your Din ([Religion] Has Prevailed). So, (O Believers,) Fear Them Not And Always Fear Me Alone. Today I Have Perfected Your Din (Religion) For You, And Have Completed My Blessing Upon You, And Have Chosen For You Islam (As) Din (A Complete Code Of Life). Then If Someone Gets Into A Survival Situation (And Is Forced By) Ravenous Hunger (And Intense Thirst I.E., Driven By Dire Necessity, Provided) He Is Not Prone To Sinning (I.E., Eats What Is Forbidden Without Being Wilfully Inclined To Sin), Then Allah Is Indeed Most Forgiving, Ever-Merciful.""}]"
"Your companions ask you, O Prophet: 'What is lawful for us to eat?' Say to them: 'You are permitted to eat good and pure things, and the game you have trained from animals with claws and fangs, such as dogs, lions, falcons, and the like, which you have been taught. Eat what you catch, and remember Allah's name when you send them out for hunting, and fear Allah in what He has commanded you and in what He has forbidden. Indeed, Allah is swift in reckoning.'","They ask you (Muhammad), 'What is lawful for us?' Say, 'Lawful for you are the good things, and what you have taught the animals of hunting, teaching them as Allah has taught you. So eat what they catch for you, and mention Allah's name upon it, and be conscious of Allah. Indeed, Allah is swift in reckoning.' (5:4)","Quran Surah 5 Ayah 4:
People Ask You What Has Been Made Lawful For Them. Say (To Them): ‘The Pure Provisions Are Declared Lawful For You.’ And The Hunting Animals That You Have Tamed Running After Game And, This Way, Teach Them (The Methods Of Hunting) Which Allah Has Taught You; So Eat (Also) Of That (Prey) Which The Hunting Animals Hold On For You (After Hunting). And Pronounce The Name Of Allah Over That (Hunting Beast When You Unleash It For Hunting). And Keep Fearing Allah. Indeed, Allah Is Swift In Calling To Account.","[{""index"": 146, ""q_src_id"": 147, ""surah"": 5, ""ayah"": 4, ""ayah_en"": ""People Ask You What Has Been Made Lawful For Them. Say (To Them): \u2018The Pure Provisions Are Declared Lawful For You.\u2019 And The Hunting Animals That You Have Tamed Running After Game And, This Way, Teach Them (The Methods Of Hunting) Which Allah Has Taught You; So Eat (Also) Of That (Prey) Which The Hunting Animals Hold On For You (After Hunting). And Pronounce The Name Of Allah Over That (Hunting Beast When You Unleash It For Hunting). And Keep Fearing Allah. Indeed, Allah Is Swift In Calling To Account.""}]"
"Yes, he may eat and marry women from among the People of the Book (Jews and Christians). The evidence is: 'This day [all] good foods have been made lawful, and the food of those who were given the Scripture is lawful for you and your food is lawful for them, and [lawful in marriage are] chaste women from among the believers and chaste women from among those who were given the Scripture before you, when you have given them their due compensation, desiring no worldly benefit or temporary enjoyment from them. And whoever believes in Allah and the Last Day is forbidden to have them as mothers except through marriage or what your right hands possess. And Allah is ever, over all things, Knowing.' (Quran 5:5)",Can a Muslim eat from the sacrifices of a Jew or a Christian? Can he marry their women? What is the evidence?,"Quran Surah 5 Ayah 5:
This Day, Good And Pure Things Have Been Made Lawful For You. And The Sacrificed Animal Of Those Given The (Revealed) Book Is (Also) Lawful For You, Whilst Your Sacrificed Animal Is Lawful For Them. And (Likewise) Chaste Muslim Women As Well As Chaste Women From Amongst Those Given The Book Before You (Are Lawful For You) When You Have Paid Them Their Dower, (Provided) You Marry Them For A Conjugal Life (Adhering To Chasteness And Decency), And Not For Open Lasciviousness (Merely Satisfying Your Lust), Nor For Secret Love Affairs. The One Who Denies Faith (In The Commandments Of Allah), All His Work Is Ruined, And He Will (Also) Be Amongst The Losers In The Hereafter.","[{""index"": 147, ""q_src_id"": 148, ""surah"": 5, ""ayah"": 5, ""ayah_en"": ""This Day, Good And Pure Things Have Been Made Lawful For You. And The Sacrificed Animal Of Those Given The (Revealed) Book Is (Also) Lawful For You, Whilst Your Sacrificed Animal Is Lawful For Them. And (Likewise) Chaste Muslim Women As Well As Chaste Women From Amongst Those Given The Book Before You (Are Lawful For You) When You Have Paid Them Their Dower, (Provided) You Marry Them For A Conjugal Life (Adhering To Chasteness And Decency), And Not For Open Lasciviousness (Merely Satisfying Your Lust), Nor For Secret Love Affairs. The One Who Denies Faith (In The Commandments Of Allah), All His Work Is Ruined, And He Will (Also) Be Amongst The Losers In The Hereafter.""}]"
"O you who believe, when you intend to perform prayer, wash your faces, your hands up to the elbows, wipe your heads, and wash your feet up to the ankles. If you are in a state of major impurity, purify yourselves. If you are ill, on a journey, or have touched something impure, or have had sexual contact without finding water, perform tayammum by striking clean earth with your hands and wiping your faces and hands with it. Allah does not want to place a burden on you, but He wants to purify you and to complete His favor upon you, so that you may be grateful.","Recite and explain the verse that indicates purification from minor and major impurity, both in the presence and absence of water.","Quran Surah 5 Ayah 6:
O Believers! When (You Intend) To Stand For Prayer, Then, (For Ablution,) Wash Your Faces And Hands Up To The Elbows, And Pass Your Wet Hands Over Your Heads And (Also Wash) Your Feet Up To The Ankles. And If You Are In A State Of Obligation For Total Ablution, Purify Yourselves Well (By Bathing). Should You Be Ill Or On A Journey, Or Someone Of You Comes (After) Defecation, Or You Have Had Sexual Contact With Women And Then You Do Not Find Water, (In These Cases,) Perform Tayammum With Clean Soil. So, It Is Wiping Your Faces And (Full) Hands With It (I.E., Clean Soil). Allah Does Not Want To Make Things Hard For You, But He Wants To Purify You, And Complete The Bestowal Of His Favour Upon You So That You May Become Grateful.","[{""index"": 148, ""q_src_id"": 149, ""surah"": 5, ""ayah"": 6, ""ayah_en"": ""O Believers! When (You Intend) To Stand For Prayer, Then, (For Ablution,) Wash Your Faces And Hands Up To The Elbows, And Pass Your Wet Hands Over Your Heads And (Also Wash) Your Feet Up To The Ankles. And If You Are In A State Of Obligation For Total Ablution, Purify Yourselves Well (By Bathing). Should You Be Ill Or On A Journey, Or Someone Of You Comes (After) Defecation, Or You Have Had Sexual Contact With Women And Then You Do Not Find Water, (In These Cases,) Perform Tayammum With Clean Soil. So, It Is Wiping Your Faces And (Full) Hands With It (I.E., Clean Soil). Allah Does Not Want To Make Things Hard For You, But He Wants To Purify You, And Complete The Bestowal Of His Favour Upon You So That You May Become Grateful.""}]"
"O you who believe, be steadfast for Allah, witnesses in justice, and let not the hatred of a people prevent you from being just. Be just, for that is closer to righteousness, and fear Allah. Indeed, Allah is aware of what you do.","Recite the verse in which Allah, the Exalted, commands us to treat our enemies and friends equally.","Quran Surah 5 Ayah 8:
O Believers! Holding Fast To The Cause Of Allah, Bear Witness Based On Justice. And Let Not (Even) The Extreme Hostility Against A People Provoke You Into Abstaining From Justice (In Their Case). Always Do Justice, (For) It Is Closer To Piousness. And Fear Allah. Indeed, Allah Is Well Aware Of Your Works.","[{""index"": 149, ""q_src_id"": 150, ""surah"": 5, ""ayah"": 8, ""ayah_en"": ""O Believers! Holding Fast To The Cause Of Allah, Bear Witness Based On Justice. And Let Not (Even) The Extreme Hostility Against A People Provoke You Into Abstaining From Justice (In Their Case). Always Do Justice, (For) It Is Closer To Piousness. And Fear Allah. Indeed, Allah Is Well Aware Of Your Works.""}]"
"The covenant is: establishing prayer, giving zakat, believing in the messengers and supporting them, and spending in the way of Allah. The fruit of the covenant is the forgiveness of sins for those who adhere to it and entering paradise. Allah took the covenant from the Children of Israel and sent twelve leaders among them. Allah said, 'I will be with you, so if you establish the prayer, give zakat, believe in My messengers, support them, and lend to Allah a good loan, I will forgive your sins and admit you to gardens beneath which rivers flow. But whoever disbelieves after that has certainly strayed from the right path.' (5:12)",What is the covenant that Allah (SWT) took from the Children of Israel? And what is the outcome of this covenant?,"Quran Surah 5 Ayah 12:
And Indeed, Allah Took A Firm Promise From The Children Of Israel, And We Appointed Amongst Them Twelve Chieftains (For Its Fulfilment, Enforcement And Protection). And Allah Said (To The Children Of Israel): ‘I Am With You (I.E., My Special Support And Reinforcement Will Escort You).’ If You Establish Prayer And Pay Zakat (The Alms-Due) Consistently, And (Always) Adhere To Believing In My Messengers, And Furnish Persistent Support To Their (Prophetic Mission), And Lend Allah A Handsome Loan (For The Financial Support, Promotion And Prevalence Of His Din [Religion]), I Will Certainly Remove Your Sins From You, And Will Assuredly Admit You To The Gardens With Streams Flowing Beneath. Then, Later, Whoever From Amongst You Rejects Faith (I.E., Violates The Promise) Indeed Strays From The Straight Path.","[{""index"": 150, ""q_src_id"": 151, ""surah"": 5, ""ayah"": 12, ""ayah_en"": ""And Indeed, Allah Took A Firm Promise From The Children Of Israel, And We Appointed Amongst Them Twelve Chieftains (For Its Fulfilment, Enforcement And Protection). And Allah Said (To The Children Of Israel): \u2018I Am With You (I.E., My Special Support And Reinforcement Will Escort You).\u2019 If You Establish Prayer And Pay Zakat (The Alms-Due) Consistently, And (Always) Adhere To Believing In My Messengers, And Furnish Persistent Support To Their (Prophetic Mission), And Lend Allah A Handsome Loan (For The Financial Support, Promotion And Prevalence Of His Din [Religion]), I Will Certainly Remove Your Sins From You, And Will Assuredly Admit You To The Gardens With Streams Flowing Beneath. Then, Later, Whoever From Amongst You Rejects Faith (I.E., Violates The Promise) Indeed Strays From The Straight Path.""}]"
"They did not uphold their covenant, distorted the Torah, so Allah cursed them and turned their hearts away from His mercy, making them hard-hearted and unwilling to believe. Thus, for breaking their covenant, We cursed them and made their hearts hard. They distort the words from their proper context and forget a significant portion of what they were reminded of. You will always find deceit in them, except for a few. So, forgive them and overlook their misdeeds. Indeed, Allah loves those who do good.",Did the Children of Israel take the covenant? And what did God Almighty do to them?,"Quran Surah 5 Ayah 13:
Then We Laid Our Curse On Them Because Of Their Breach Of Promise (I.E., They Were Deprived Of Our Mercy), And We Made Their Hearts Callous (I.E., They Were Deprived Of Guidance And Susceptibility. So,) They Change The Words (Of Allah’S Book) From Their (Right) Places, And Have Forgotten A (Major) Portion Of That (Guidance) Which They Were Urged Upon. And You Will Continue Being Informed About One Or The Other Of Their Treachery, Except A Few Of Them (Who Have Embraced Faith). So Pardon Them And Forbear. Indeed, Allah Loves The Benefactors.","[{""index"": 151, ""q_src_id"": 152, ""surah"": 5, ""ayah"": 13, ""ayah_en"": ""Then We Laid Our Curse On Them Because Of Their Breach Of Promise (I.E., They Were Deprived Of Our Mercy), And We Made Their Hearts Callous (I.E., They Were Deprived Of Guidance And Susceptibility. So,) They Change The Words (Of Allah\u2019S Book) From Their (Right) Places, And Have Forgotten A (Major) Portion Of That (Guidance) Which They Were Urged Upon. And You Will Continue Being Informed About One Or The Other Of Their Treachery, Except A Few Of Them (Who Have Embraced Faith). So Pardon Them And Forbear. Indeed, Allah Loves The Benefactors.""}]"
"They have broken the covenant of the Children of Israel: Establishing prayer, giving zakat, believing in the messengers, supporting them, and spending in the way of Allah. Allah has cast enmity and hatred among them until the Day of Resurrection. And among those who say, 'We are Christians,' we took their covenant, but they forgot a portion of what they were reminded of, so We stirred up enmity and hatred among them until the Day of Resurrection. And Allah will inform them of what they used to do.",What is the covenant that Allah (SWT) took from those who said 'We are Christians'? Did they abide by it? What did Allah do to them?,"Quran Surah 5 Ayah 14:
And We (Also) Took A (Similar) Promise From Those Who Say: ‘We Are Christians.’ Then They (Too) Forgot A (Major) Portion Of That (Guidance) Which They Were Urged Upon. So, (Owing To This Breach Of Promise,) We Infected Them With Mutual Hostility And Spite Till The Day Of Resurrection. And Allah Will Soon Unveil To Them (The Reality Of The Acts) Which They Used To Perpetrate.","[{""index"": 152, ""q_src_id"": 153, ""surah"": 5, ""ayah"": 14, ""ayah_en"": ""And We (Also) Took A (Similar) Promise From Those Who Say: \u2018We Are Christians.\u2019 Then They (Too) Forgot A (Major) Portion Of That (Guidance) Which They Were Urged Upon. So, (Owing To This Breach Of Promise,) We Infected Them With Mutual Hostility And Spite Till The Day Of Resurrection. And Allah Will Soon Unveil To Them (The Reality Of The Acts) Which They Used To Perpetrate.""}]"
"The Christians who claim that God is the Messiah, son of Mary, have indeed disbelieved. Say, O Messenger, to these ignorant Christians: 'If the Messiah were indeed a god, as they claim, he would have been able to prevent the decree of God when it came to him with the destruction of him and his mother and all that is on earth. But Mary, the mother of Jesus, has died, and he did not prevent her death. Similarly, he cannot prevent his own death; for both he and his mother are servants of God, unable to ward off the decree of destruction. This is a sign that he is a human being, like any other of the children of Adam. All that exists in the heavens and the earth belongs to God; He creates what He wills and brings it into being, and He has power over all things. The truth of Tawhid necessitates the uniqueness of God in the attributes of Lordship and Divinity; none of His creation shares that with Him. Many people fall into shirk and misguidance due to their exaggeration in the matter of the prophets and the righteous, as the Christians have exaggerated in the case of Jesus. The entire universe belongs to God, and the creation is in His hand alone; whatever appears of wonders and signs is referred back to God. He, the Exalted, creates what He wills and does what He wants.",nan,"Quran Surah 5 Ayah 17:
They Have Indeed Committed Disbelief Who Say: ‘Verily, Allah Is (But) The Messiah, The Son Of Maryam (Mary).’ Say: ‘Who Is Then (The One) Who Can Possess A Bit (Of The Will) Of Allah If He Should So Decide As To Destroy Messiah, The Son Of Maryam, And His Mother, And All That Are On Earth (Who Can Save Them Against His Will)?’ And The Sovereignty Of The Heavens, The Earth And (The Universe) That Exists Between Them, (All) Belongs To Allah Alone. He Creates What He Wills And Allah Has Absolute Power Over Everything.","[{""index"": 153, ""q_src_id"": 154, ""surah"": 5, ""ayah"": 17, ""ayah_en"": ""They Have Indeed Committed Disbelief Who Say: \u2018Verily, Allah Is (But) The Messiah, The Son Of Maryam (Mary).\u2019 Say: \u2018Who Is Then (The One) Who Can Possess A Bit (Of The Will) Of Allah If He Should So Decide As To Destroy Messiah, The Son Of Maryam, And His Mother, And All That Are On Earth (Who Can Save Them Against His Will)?\u2019 And The Sovereignty Of The Heavens, The Earth And (The Universe) That Exists Between Them, (All) Belongs To Allah Alone. He Creates What He Wills And Allah Has Absolute Power Over Everything.""}]"
The period between the mission of Jesus and the mission of Muhammad (peace be upon him) is 569 years.,What does (fatra min al-rusul) mean in this verse?,"Quran Surah 5 Ayah 19:
O People Of The Book! Indeed, Our (Last) Prophet Has Come To You (At The Juncture) When (The Chain Of) Messengers’ Succession Is Breaking Off, And He Expounds To You (Our Commands And Injunctions) With Ample Clarity, (Because) You May (By Way Of Excuse) Say: ‘There Has Come To Us No Bearer Of Good News Or A Warner.’ (Now This Excuse Of Yours Has Also Lost Ground Because) Undoubtedly, (The Final) Bearer Of Glad Tidings And Warner Has Come To You, And Allah Has Absolute Power Over Everything.","[{""index"": 154, ""q_src_id"": 155, ""surah"": 5, ""ayah"": 19, ""ayah_en"": ""O People Of The Book! Indeed, Our (Last) Prophet Has Come To You (At The Juncture) When (The Chain Of) Messengers\u2019 Succession Is Breaking Off, And He Expounds To You (Our Commands And Injunctions) With Ample Clarity, (Because) You May (By Way Of Excuse) Say: \u2018There Has Come To Us No Bearer Of Good News Or A Warner.\u2019 (Now This Excuse Of Yours Has Also Lost Ground Because) Undoubtedly, (The Final) Bearer Of Glad Tidings And Warner Has Come To You, And Allah Has Absolute Power Over Everything.""}]"
